MUNCOD;MUNCODDV;SITUACAO;MUNSINP;MUNSIAFI;MUNNOME;MUNNOMEX;OBSERV;MUNSINON;MUNSINONDV;AMAZONIA;FRONTEIRA;CAPITAL;UFCOD;MESOCOD;MICROCOD;MSAUDCOD;RSAUDCOD;CSAUDCOD;RMETRCOD;AGLCOD;ANOINST;ANOEXT;SUCESSOR;LATITUDE;LONGITUDE;ALTITUDE;AREA
000000;0000000;IGNOR;00000;;Ignorado ou exterior;IGNORADO OU EXTERIOR;Ignorado;,      ,000001-009999;,       ,0000001-0099999;N;N;N;00;0000;00000;0000;0000;00000;0000;0000;;;;0.0;0.0;0.0;0.0
110000;1100000;IGNOR;26000;;Município ignorado - RO;MUNICIPIO IGNORADO - RO;;,119999;,1199999;N;N;N;11;1100;11000;1100;1100;11000;1100;1100;;;;0.0;0.0;0.0;0.0
110001;1100015;ATIVO;26016;0033;Alta Floresta D'Oeste;ALTA FLORESTA D'OESTE;;;;S;S;N;11;1102;11006;1190;1102;11900;1190;1190;1986;;;-11.929;-61.996;350.0;7066.702
110002;1100023;ATIVO;26004;0007;Ariquemes;ARIQUEMES;;;;S;N;N;11;1102;11003;1190;1104;11900;1190;1190;1977;;;-9.913;-63.041;142.0;4426.558
110003;1100031;ATIVO;26020;0037;Cabixi;CABIXI;;;;S;S;N;11;1102;11008;1190;1103;11900;1190;1190;1989;;;-13.492;-60.545;230.0;1314.355
110004;1100049;ATIVO;26007;0009;Cacoal;CACOAL;;;;S;N;N;11;1102;11006;1190;1102;11900;1190;1190;1977;;;-11.438;-61.448;200.0;3792.638
110005;1100056;ATIVO;26014;0027;Cerejeiras;CEREJEIRAS;;;;S;S;N;11;1102;11008;1190;1103;11900;1190;1190;1983;;;-13.189;-60.812;277.0;2783.305
110006;1100064;ATIVO;26008;0023;Colorado do Oeste;COLORADO DO OESTE;;;;S;S;N;11;1102;11008;1190;1103;11900;1190;1190;1981;;;-13.117;-60.542;460.0;1451.058
110007;1100072;ATIVO;26030;0981;Corumbiara;CORUMBIARA;;;;S;S;N;11;1102;11008;1190;1103;11900;1190;1190;1993;;;-12.962;-60.887;340.0;3060.318
110008;1100080;ATIVO;26009;0021;Costa Marques;COSTA MARQUES;;;;S;S;N;11;1101;11002;1190;1101;11900;1190;1190;1981;;;-12.445;-64.227;140.0;12722.168
110009;1100098;ATIVO;26010;0025;Espigão D'Oeste;ESPIGAO D'OESTE;;;;S;N;N;11;1102;11006;1190;1102;11900;1190;1190;1981;;;-11.525;-61.013;270.0;4518.055
110010;1100106;ATIVO;26001;0001;Guajará-Mirim;GUAJARA-MIRIM;;;;S;S;N;11;1101;11002;1190;1104;11900;1190;1190;1943;;;-10.783;-65.339;128.0;24855.652
110011;1100114;ATIVO;26011;0015;Jaru;JARU;;;;S;N;N;11;1102;11004;1190;1101;11900;1190;1190;1981;;;-10.439;-62.466;124.0;2944.025
110012;1100122;ATIVO;26003;0005;Ji-Paraná;JI-PARANA;;;;S;N;N;11;1102;11004;1190;1101;11900;1190;1190;1977;;;-10.882;-61.944;170.0;6896.782
110013;1100130;ATIVO;26021;0039;Machadinho D'Oeste;MACHADINHO D'OESTE;;;;S;N;N;11;1102;11003;1190;1104;11900;1190;1190;1989;;;-9.444;-61.981;102.0;8509.274
110014;1100148;ATIVO;26019;0041;Nova Brasilândia D'Oeste;NOVA BRASILANDIA D'OESTE;;;;S;S;N;11;1102;11005;1190;1102;11900;1190;1190;1989;;;-11.725;-62.331;320.0;1155.353
110015;1100155;ATIVO;26012;0017;Ouro Preto do Oeste;OURO PRETO DO OESTE;;;;S;N;N;11;1102;11004;1190;1101;11900;1190;1190;1981;;;-10.716;-62.248;280.0;1970.151
110018;1100189;ATIVO;26005;0011;Pimenta Bueno;PIMENTA BUENO;;;;S;S;N;11;1102;11007;1190;1102;11900;1190;1190;1977;;;-11.673;-61.193;195.0;6241.072
110020;1100205;ATIVO;26002;0003;Porto Velho;PORTO VELHO;;;;S;S;S;11;1101;11001;1190;1104;11900;1190;1101;1943;;;-8.762;-63.904;85.0;34082.366
110025;1100254;ATIVO;26013;0019;Presidente Médici;PRESIDENTE MEDICI;;;;S;N;N;11;1102;11004;1190;1101;11900;1190;1190;1981;;;-11.176;-61.901;185.0;1758.461
110026;1100262;ATIVO;26036;0687;Rio Crespo;RIO CRESPO;;;;S;N;N;11;1102;11003;1190;1104;11900;1190;1190;1993;;;-9.705;-62.9;0.0;1717.648
110028;1100288;ATIVO;26015;0029;Rolim de Moura;ROLIM DE MOURA;;;;S;S;N;11;1102;11006;1190;1102;11900;1190;1190;1983;;;-11.733;-61.778;290.0;1457.885
110029;1100296;ATIVO;26018;0043;Santa Luzia D'Oeste;SANTA LUZIA D'OESTE;;;;S;S;N;11;1102;11006;1190;1102;11900;1190;1190;1986;;;-11.902;-61.779;260.0;1197.781
110030;1100304;ATIVO;26006;0013;Vilhena;VILHENA;;;;S;S;N;11;1102;11007;1190;1103;11900;1190;1190;1977;;;-12.741;-60.146;600.0;11518.929
110032;1100320;ATIVO;26022;0045;São Miguel do Guaporé;SAO MIGUEL DO GUAPORE;;;;S;S;N;11;1102;11005;1190;1101;11900;1190;1190;1989;;;-11.681;-62.684;205.0;8007.866
110033;1100338;ATIVO;26023;0047;Nova Mamoré;NOVA MAMORE;Ex Vila Nova do Mamoré;;;S;S;N;11;1101;11001;1190;1104;11900;1190;1190;1989;;;-10.411;-65.331;134.0;10071.702
110034;1100346;ATIVO;26017;0035;Alvorada D'Oeste;ALVORADA D'OESTE;;;;S;S;N;11;1102;11005;1190;1101;11900;1190;1190;1986;;;-11.408;-62.389;224.0;3029.19
110037;1100379;ATIVO;26041;0002;Alto Alegre dos Parecis;ALTO ALEGRE DOS PARECIS;;;;S;S;N;11;1102;11006;1190;1102;11900;1190;1190;1997;;;-12.128;-61.851;405.0;3958.586
